Website,Link,Network operator,Link Load time,Link dead or not
,http://mnregaweb4.nic.in/netnrega/SDGDashboard/index.html,Airtel,1389,N
,http://www.nregs.net/nregsindia/,Airtel,831.4,N
,https://pfms.nic.in/static/nregaftosearch.aspx,Airtel,842.2,N
,http://cryptoplanet.in/WD_PROXKey.exe,Airtel,0,Y
,http://cryptoplanet.in/ProxKey%20User%20Manual.pdf,Airtel,0,Y
,http://mnregaweb4.nic.in/netnrega/fto/ftopending.aspx,Airtel,21829.8,N
,http://nrega.nic.in/netnrega/releases.htm,Airtel,418.8,N
,http://nrega.nic.in/netnrega/Backup_file.aspx,Airtel,837.6,N
,http://nrega.nic.in/netnrega/backupinfo.aspx,Airtel,1030,N
,http://nrega.nic.in/netnrega/cbt.html,Airtel,293.6,N
,https://nrega.nic.in/netnrega/home.aspx#,Airtel,1496.4,N
,https://nrega.nic.in/netnrega/home.aspx#,Airtel,1509.8,N
,https://nrega.nic.in/netnrega/home.aspx#,Airtel,1504.8,N
,https://nrega.nic.in/netnrega/home.aspx#,Airtel,1460.4,N
,https://nrega.nic.in/netnrega/home.aspx#,Airtel,1580.4,N
,https://nrega.nic.in/netnrega/home.aspx#,Airtel,1538.6,N
,https://nrega.nic.in/netnrega/home.aspx#,Airtel,1630.8,N
,http://india.gov.in/,Airtel,1027.8,N
,http://mygov.nic.in/,Airtel,0,Y
,http://www.incometaxindia.gov.in/Pages/default.aspx/,Airtel,1889.2,N
,http://digitalindia.gov.in/,Airtel,14586.8,N
,http://nic.in/,Airtel,0,Y
,http://rural.nic.in/,Airtel,4272,N
,http://capart.nic.in/,Airtel,0,Y
,http://pmgsy.nic.in/,Airtel,1779.6,N
,http://rural.nic.in/sites/right-information-act.asp,Airtel,0,Y
,http://www.nic.in/,Airtel,2573.8,N
,javascript:void(0),Airtel,0,N
,,,,
https://www.usa.gov/,https://www.usa.gov/#content,Airtel,2388.2,N
,https://www.usa.gov/,Airtel,1500.4,N
,https://www.usa.gov/espanol/,Airtel,1395,N
,https://www.usa.gov/phone,Airtel,1491.8,N
,https://www.usa.gov/#tpcs,Airtel,1351.4,N
,https://www.usa.gov/#,Airtel,1228.6,N
,https://www.usa.gov/flag,Airtel,1731.6,N
,https://www.usa.gov/branches-of-government,Airtel,1921.8,N
,https://www.usa.gov/budget,Airtel,1967,N
,https://www.usa.gov/statistics,Airtel,1485,N
,https://www.usa.gov/#,Airtel,1275,N
,https://www.usa.gov/federal-agencies,Airtel,1242.4,N
,https://www.usa.gov/branches-of-government,Airtel,1458.2,N
,https://www.usa.gov/budget,Airtel,1315.2,N
,https://www.usa.gov/#,Airtel,1182,N
,https://www.usa.gov/auctions-and-sales,Airtel,1346.4,N
,https://www.usa.gov/state-surplus-sales,Airtel,1299.4,N
,https://www.usa.gov/elected-officials,Airtel,1293.6,N
,https://www.usa.gov/forms,Airtel,1277.8,N
,https://www.usa.gov/#,Airtel,1283.2,N
,https://www.usa.gov/elected-officials,Airtel,1246.4,N
,https://www.usa.gov/state-governor,Airtel,1258.2,N
,https://www.usa.gov/tribes,Airtel,1234.8,N
,https://www.usa.gov/local-governments,Airtel,1296.4,N
,https://www.usa.gov/state-attorney-general,Airtel,1275,N
,https://www.usa.gov/state-consumer,Airtel,1353,N
,https://www.usa.gov/state-emergency-management,Airtel,1227.2,N
,https://www.usa.gov/states-and-territories,Airtel,1235.8,N
,https://www.usa.gov/state-health,Airtel,1156.8,N
,https://www.usa.gov/state-courts,Airtel,1076.8,N
,https://www.usa.gov/state-travel-and-tourism,Airtel,1347.6,N
,https://www.usa.gov/history,Airtel,1879.4,N
,https://www.usa.gov/#,Airtel,1353.2,N
,https://www.usa.gov/#,Airtel,1137,N
,https://www.usa.gov/complaint-against-government,Airtel,1299.6,N
,https://www.usa.gov/consumer-complaints,Airtel,1593.4,N
,https://www.usa.gov/complaints-by-product,Airtel,1291.4,N
,https://www.usa.gov/complaint-letter,Airtel,1045.4,N
,https://www.usa.gov/#,Airtel,1362.6,N
,https://www.usa.gov/crimes-against-children,Airtel,1196.6,N
,https://www.usa.gov/prisons,Airtel,1315,N
,https://www.usa.gov/report-crime,Airtel,1216.8,N
,https://www.usa.gov/corrections,Airtel,1361.6,N
,https://www.usa.gov/#,Airtel,1198,N
,https://www.usa.gov/branches-of-government,Airtel,1450.2,N
,https://www.usa.gov/laws-and-regulations,Airtel,1289.4,N
,https://www.usa.gov/how-laws-are-made,Airtel,1629,N
,https://www.usa.gov/labor-laws,Airtel,1360.8,N
,https://www.usa.gov/#,Airtel,1335.8,N
,https://www.usa.gov/complaints,Airtel,1091.8,N
